threshold,precision,recall,f2,review_rate,review_count,tp,fn,fp,tn
0.85,0.9428571428571428,0.2323943661971831,0.2736318407960199,0.07909604519774012,70,66,218,4,597
0.86,0.9344262295081968,0.2007042253521127,0.23809523809523808,0.06892655367231638,61,57,227,4,597
0.87,0.9444444444444444,0.1795774647887324,0.21428571428571427,0.061016949152542375,54,51,233,3,598
0.88,0.9787234042553191,0.1619718309859155,0.1944209636517329,0.05310734463276836,47,46,238,1,600
0.89,0.9705882352941176,0.11619718309859155,0.14102564102564102,0.0384180790960452,34,33,251,1,600
0.9,0.9565217391304348,0.07746478873239436,0.09490940465918896,0.02598870056497175,23,22,262,1,600
0.91,1.0,0.02464788732394366,0.03062117235345582,0.007909604519774011,7,7,277,0,601
0.92,0.0,0.0,0.0,0.0,0,0,284,0,601
0.93,0.0,0.0,0.0,0.0,0,0,284,0,601
0.94,0.0,0.0,0.0,0.0,0,0,284,0,601
0.95,0.0,0.0,0.0,0.0,0,0,284,0,601
